id,category,bathrooms,bedrooms,price_type,square_feet,cityname,state,latitude,longitude,has_Gym,has_Parking,has_Pool,has_Internet_Access,has_Elevator,allows_Dogs,allows_Cats,price
5668622139,apartment,1,2,Monthly,418,Nashville,TN,36.137,-86.783,0,0,1,0,0,1,1,1294
5508886396,apartment,2,2,Monthly,1182,Plymouth,MA,41.8729,-70.6414,1,0,1,0,0,1,1,2200
5668610656,apartment,1,3,Monthly,1338,Houston,TX,29.7714,-95.4343,0,0,0,0,0,1,1,1099
5668639473,apartment,1,2,Monthly,785,West Des Moines,IA,41.5657,-93.7305,0,0,0,0,0,1,1,900
5668618716,apartment,1,2,Monthly,538,Urbana,IL,40.1171,-88.1889,0,1,0,0,0,0,0,910
5668620800,apartment,1,1,Monthly,670,Shreveport,LA,32.4645,-93.7879,0,1,0,0,0,0,0,400
5509211891,apartment,1,1,Monthly,620,Renton,WA,47.4608,-122.2095,1,1,1,1,0,1,1,1360
5668641203,apartment,2,3,Monthly,1833,Henderson,NV,36.0516,-115.0235,0,0,0,0,0,0,0,1750
5508717314,apartment,1,1,Monthly,589,Toledo,OH,41.7068,-83.6497,0,0,0,0,0,0,0,779
5668617299,apartment,1,1,Monthly,647,Mooresville,NC,35.5795,-80.8153,0,1,1,0,0,1,1,905
5668615274,apartment,2,3,Monthly,1196,Kansas City,MO,39.0744,-94.5521,0,0,0,1,0,1,1,1320
5668639200,apartment,1,1,Monthly,700,Aloha,OR,45.4922,-122.8578,0,0,0,0,0,1,1,1150
5659914484,apartment,2,3,Monthly,1690,Fort Smith,AR,35.358,-94.3964,0,0,0,0,0,1,1,1350
5664569681,apartment,1,1,Monthly,719,New Braunfels,TX,29.7398,-98.1021,0,0,0,0,0,0,0,1064
5509083815,apartment,2,2,Monthly,1210,Decatur,GA,33.8144,-84.2804,1,0,0,0,0,0,0,1521
5648143910,apartment,1,2,Monthly,1000,Saint Louis,MO,38.6274,-90.304,0,0,0,0,0,1,1,1600
5664568510,apartment,1,1,Monthly,650,Cincinnati,OH,39.1679,-84.4933,0,1,0,0,0,0,1,850
5664578803,apartment,1,2,Monthly,950,Milwaukee,WI,43.0531,-87.9659,0,1,0,1,0,0,0,1445
5508716174,apartment,1,1,Monthly,880,Chesapeake,VA,36.7434,-76.2257,1,0,1,0,0,0,0,1539
5659895621,apartment,1,1,Monthly,845,Eagan,MN,44.8144,-93.1655,0,1,1,0,1,1,1,1395
5668633628,apartment,2,3,Monthly,1668,Minot,ND,48.2469,-101.3017,0,0,0,0,0,0,0,1295
5668622616,apartment,1,1,Monthly,708,Johnston,IA,41.6828,-93.7077,0,1,1,1,0,1,1,995
5661949725,apartment,2,2,Monthly,1125,Montclair,NJ,40.8206,-74.2133,1,1,0,0,0,0,0,2950
5509167838,apartment,1,1,Monthly,663,Mercer Island,WA,47.5632,-122.2265,1,0,0,0,0,0,0,1528
5508673794,apartment,1,1,Monthly,486,Denver,CO,39.7726,-105.0491,0,1,0,0,0,1,1,1499
5659919666,apartment,2,3,Monthly,1488,Little Rock,AR,34.7264,-92.348,0,0,0,0,0,1,1,1200
5668624409,apartment,1,1,Monthly,734,Port Richey,FL,28.3173,-82.6935,0,1,0,0,0,1,1,885
5668636505,apartment,1,1,Monthly,588,Bellingham,WA,48.7871,-122.4437,0,0,0,0,0,0,1,1075
5668613721,apartment,1,2,Monthly,414,Washington,DC,38.9118,-77.0132,0,1,1,1,1,1,1,1540
5668612821,apartment,1,1,Monthly,710,Federal Way,WA,47.3071,-122.3404,0,0,0,0,0,1,1,1375
5509233285,apartment,2,2,Monthly,1103,Pasadena,CA,34.1474,-118.1391,0,1,1,0,0,0,0,2992
5668622016,apartment,1,1,Monthly,715,Middletown,CT,41.5509,-72.6637,0,1,0,1,1,1,1,1105
5668638086,apartment,2,3,Monthly,1695,Richardson,TX,32.9631,-96.7212,0,0,0,0,0,1,1,1675
5508671217,apartment,1,1,Monthly,825,Winston Salem,NC,36.1036,-80.2159,1,1,1,1,1,1,1,1346
5668615754,apartment,1,2,Monthly,1100,Saint Louis,MO,38.6274,-90.304,0,1,0,0,0,0,0,1300
5668632522,apartment,1,1,Monthly,570,Austin,TX,30.3054,-97.7497,0,0,1,0,0,0,0,1110
5509128881,apartment,1,1,Monthly,672,Arlington,TX,32.6548,-97.1587,1,0,0,1,0,0,0,1045
5668633669,apartment,1,1,Monthly,820,Minot,ND,48.2469,-101.3017,0,0,0,0,0,1,1,835
5668628306,apartment,1,1,Monthly,362,Chicago,IL,41.8625,-87.6825,0,0,0,0,0,1,1,1050
5668615025,apartment,1,1,Monthly,300,Tiverton,RI,41.6151,-71.1705,0,0,0,0,0,0,0,725
5664567210,apartment,1,1,Monthly,400,Jacksonville,FL,30.2989,-81.6324,0,0,1,0,0,0,0,691
5668616288,apartment,1,2,Monthly,661,Brookfield,WI,43.0637,-88.1403,0,1,0,0,0,1,1,1320
